Locality,Before_Rangdum,
Date,18.08.2024,
Habitat,Herbaceous,
Elevation,3995,
Latitude,34.04486667,
Longitude,76.2371,
Species,#individuals,%Cover
Aconogonum_tortuosum,25,20
Bistorta_affinis,20,10
Artemisia_brevifolia,10,5
Arnebia_euchroma,8,3
Geranium_regelii,7,2
Polygonum_paronychioides,3,1
Epilobium_latifolium,8,10
Crucihimalaya_mollissima,3,1
Axyris_hybrida,4,2
Koeleria_macrantha,15,6
Nepeta_discolor,10,2
Cicer_microphyllum,5,4
Lonicera_asperifolia,2,6
Plantago_lanceolata,5,3
