
FID_121.csv#######################

Species,Cover_percent
Aconogonon_tortuosum,25
Cicer_microphyllum,12
Ephedra_gerardiana,15
Astragalus_rhizanthus,3
Thymus_linearis,10
Piptatherum_laterale,5
Nepeta_discolor,5
Artemisia_dracunculus,5
Crepidiastrum_tenuifolium_,5

FID_126.csv#######################

Species,Cover_percent
Astragalus_rhizanthus,1
Lindelofia_anchusoides,10
Thymus_linearis,6
Rosa_webbiana,12
Aconogonon_tortuosum,20
Lonicera_asperifolia,8
Cicer_microphyllum,10
Artemisia_dracunculus,25
Nepeta_discolor,4
Piptatherum_laterale,12
Oryzopsis_sp,20
Scorzonera_virgata_,1
Polygonum_biaristatum,8

FID_127.csv#######################

Species,Cover_percent
Astragalus_rhizanthus,10
Scorzonera_virgata,6
Piptatherum_gracile,20
Thymus_linearis,7
Silene_moorcroftiana,5
Arnebia_euchroma,0.1
Psychrogeton_andryaloides,2
Elymus_cognatus,15
Poa_sterilis,5
Astragalus_oplites,2

FID_129.csv#######################

Species,Cover_percent
Ephedra_intermedia,10
Nepeta_leucolaena,8
Lactuca_orientalis,1
Artemisia_brevifolia,15
Piptatherum_gracile,5
Artemisia_stricta,1
Colutea_nepalensis,0.5

FID_133.csv#######################

Species,Cover_percent
Rosa_webbiana_,8
Cotoneaster_affinis,15
Piptatherum_laterale,10
Juniperus_semiglobosa,2
Polygonum_paronychioides,0.1
Artemisia_brevifolia,25
Rosa_webbiana,3

FID_138.csv#######################

Species,Cover_percent
Haloxylon_thomsonii,5
Capparis_spinosa,6
Phragmites_australis,10
Cirsium_arvense,5

FID_143.csv#######################

Species,Cover_percent
Ephedra_gerardiana,6
Ribes_orientale,1
Lonicera_microphylla,3
Ephedra_intermedia,4
Astragalus_oplites,3
Saussurea_jacea,5
Allium_oreoprasum,4
Matthiola_chorassanica,0.5
Stipa_himalaica,6
Scrophularia_dentata,1
Artemisia_minor,2
Semenovia_lasiocarpa,6

FID_146.csv#######################

Species,Cover_percent
Acantholimon_lycopodioides_,20
Cicer_microphyllum,4
Kobresia_sp,3
Cousinia_thomsonii,9
Artemisia_brevifolia,1
Minuartia_foliosa,8
Astragalus_rhizanthus,1
Lactuca_orientails,1
Elymus_canaliculatus,4
Polygonum_paronychioides,1

FID_147.csv#######################

Species,Cover_percent
Corydalis_flabellata_,15
Kobresia_stenophylla,1
Cirsium_arvense,5
Lactuca_tatarica_,4
Halogeton_glomeratus,1
Draba_setosa,1
Astragalus_strictus,8

FID_15.csv#######################

Species,Cover_percent
Epilobium_latifolium,10
Rhodiola_fastigiata,15
Stipa_himalaica,15
Anaphalis_nubigena,7
Delphinium_brunonianum,8
Carex_stenocarpa,15
Bistorta_affinis,12
FID_153.csv#######################

Species,Cover_percent
Artemisia_minor,12
Allium_oreoprasum,5
Astragalus_oplites,15
Crepidiastrum_tenuifolium,8

FID_21.csv#######################

Species,Cover_percent
Cicer_microphyllum,25
Aconogonon_tortuosum,20
Silene_rechingeri,10

FID_23.csv#######################

Species,Cover_percent
Mentha_longifolia,10
Gentianella_moorcroftiana,8
Swertia_petiolata,7
Artemisia_brevifolia,8
Euphrasia_officinalis,6
Hypericum_perforatum,8
Verbascum_thapsus,0.5
Rumex_nepalensis,1
Trifolium_pratense,6
Equisetum_arvense,6
Epilobium_chitralense,5
Pedicularis_punctata,3
Arabidopsis_thaliana,1
Plantago_depressa,1
Kobresia_karakorumensis,12
Taraxacum_officinale,4
Euphrasia_schlagintweitii,5
Plantago_himalaica,3
Leontopodium_himalayanum,3
Carum_carvi,5
Ranunculus_distans,2
Ferula_jaeschkeana,15
Viola_kunawurensis,1

FID_234.csv#######################

Species,Cover_percent
Aconogonon_tortuosum,20
Acantholimon_lycopodioides,5
Cousinia_thomsonii,1

FID_272.csv#######################

Species,Cover_percent
Cynanchum_vincitoxicum,5
Artemisia_brevifolia,30
Astragalus_oplites,0.1
Lactuca_orientails,1
Artemisia_fragrans,20
Astragalus_munroi,1
Polygonum_paronychioides,6

FID_279.csv#######################

Species,Cover_percent
Stachys_tibetica,20
Rosa_webbiana,5
Taraxacum_officinale,0.1
Sibbaldianthe_bifurca,8
Lindelofia_stylosa,1
Nepata_podostachys,2
Thymus_linearis_,4
Polygonium_paronychioides,1
Agrostis_gigantea,5
Poa_sterilis,1
Eremopoa_altaica_subsp._songorica,3
Brachyactis_roylei,0.5
Astragalus_falconeri,1

FID_28.csv#######################

Species,Cover_percent
Ephedra_intermedia,15
Artemisa_brevifolia,3

FID_29.csv#######################

Species,Cover_percent
Betula_utilis,35
Sorbus_tianschanica,10
Juniperus_recurva,10

FID_300.csv#######################

Species,Cover_percent
Draba_cachemirica,25
Allium_carolinianum,8
Bistorta_affinis,7
Chorispora_macropoda,2
Oxytropis_densa,3
Saussurea_leontodontoides,2
Leontopodium_monocephalum,8

FID_301.csv#######################

Species,Cover_percent
Juniperus_semiglobosa_,8
Ribes_orientale,20
Capparis__spinosa,1
Tanacetum_gracile,2
Ephedra_intermedia,12

FID_311.csv#######################

Species,Cover_percent
Cicer_microphyllum,15
Heracleum_pinnatum,4
Medicago_falcata,15
Nepata_discolor,2
Scorzonera_virgata,0.5
Oxytropis_sp._Unid,0.5
Geranium_himalayense,2
Codonopsis_clematidea,15
Thalictrum_foetidum,2
Poa_tibetica,6
Leymus_secalinus,2

FID_314.csv#######################

Species,Cover_percent
Salix_karelinii,25
Sibbaldia_cuneata,6
